local_authority,district,constituency,ward,polling_station,facility,david_mdc,tinashe_ind,kevin_zpm,norman_mkd,thabitha_mdc_t,rodger_zapu,kevin_zanu_pf,tapson_umd,stanley_ind,rejected,unaccounted_for,votes_cast,valid_votes
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,3,Amazon Primary School,School,19,0,0,0,58,,21,0,0,0,0,98,98
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,3,Carmel Primary School,School,71,0,1,2,88,,109,0,0,1,0,272,271
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,3,Centenary Primary School,School,115,5,0,0,131,,53,0,2,5,0,311,306
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,3,Elangeni Training Centre,Hall,31,0,0,0,43,,321,0,0,2,0,397,395
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,3,King George VI  A,School,126,0,2,0,125,,92,1,0,1,0,347,346
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,3,King George VI  B,School,55,0,0,0,58,,52,0,0,1,0,166,165
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,3,Kumalo Primary School,School,215,4,1,1,223,,103,0,3,4,0,554,550
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,3,Mahatshula Primary School A,School,140,6,2,0,179,,141,0,3,14,0,485,471
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,3,Mahatshula Primary School B,School,98,7,1,0,108,,47,0,0,9,0,270,261
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,3,National Museum ,Tent,69,0,1,0,85,,221,0,1,2,0,379,377
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,3,Nite star Drive Inn ,Tent,40,0,0,0,45,,17,0,0,1,0,103,102
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,3,NUST,School,44,0,0,0,36,,11,0,0,0,0,91,91
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,3,Old Nic Mine ,Tent,56,45,2,1,120,,114,1,2,3,0,344,341
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,3,Paddonhurst Pre-School ,Pre -School,161,0,1,1,254,,206,2,2,6,0,633,627
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,3,Romney Park Catholic Training School ,School,155,1,0,0,213,,109,1,1,2,0,482,480
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,3,School of Mines,School,38,4,0,0,47,,30,0,0,3,0,122,119
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,3,St Thomas Aquinas Primary School,School,202,1,0,0,159,,64,1,1,3,0,431,428
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,3,Thomas Rudland Primary School,School,160,2,3,1,307,,192,5,4,14,0,688,674
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,3,East View High School,School,101,7,0,2,129,,58,0,0,2,0,299,297
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,3,Woodville Primary School,School,64,9,1,0,112,,60,2,2,3,0,253,250
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,4,Burnside Garage,Tent,162,4,0,0,116,,43,2,0,6,0,333,32
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,4,Hill Top ,Tent,166,4,1,2,154,,52,0,0,2,0,381,37
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,4,Hillside Infants School,School,116,1,1,1,89,,29,0,1,2,0,240,23
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,4,Hillside Junior School A,School,140,0,0,0,128,,52,0,0,2,0,322,32
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,4,Hillside Junior School B,School,96,0,0,1,83,,43,0,1,4,0,228,22
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,4,Hillside Teachers College,School,143,1,0,0,145,,46,1,1,1,0,338,33
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,4,Leeside Shopping Centre,Tent,204,0,1,2,149,,62,0,1,4,0,423,41
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,4,Lockview Primary School,School,157,6,1,1,155,,88,1,0,9,0,418,40
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,4,Masiyepambili Primary School,School,103,0,0,1,65,,29,0,0,3,0,201,19
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,4,Petra Secondary School,School,113,0,0,2,49,,24,0,1,3,0,192,18
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,4,Rio Hotel,Tent,138,2,4,2,106,,56,1,3,5,0,317,31
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,4,Tennyson Primary School,School,191,6,0,3,148,,55,0,0,11,0,414,40
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,4,Townsend High School,School,152,1,0,1,94,,34,0,0,1,0,283,28
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,4,United Bulawayo Hospital,Tent,91,1,0,1,141,,45,0,0,5,0,284,27
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,4,Waterford Primary School,School,42,0,0,0,42,,15,0,1,2,0,102,10
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,4,Waterford Shopping Centre ,Tent,128,3,0,1,71,,32,0,1,13,0,249,23
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,4,Whitestone Primary School,School,236,2,0,4,103,,38,1,0,5,0,389,38
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,4,Riverside Stimulation centre ,Tent,49,1,1,1,43,,12,1,2,1,0,111,11
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo East ,4,Wood Lands Fazak Shopping Centre,Tent,153,2,0,4,159,,66,0,0,9,0,393,38
