local_authority,district,constituency,ward ,polling_station,facility,duduzile_mdc,james_fzc,sandla_ind,vusumusi_ind,strike_zapu,happiness_zanu_ndonga,jelous_ind,bekithemba_mdc_t,chad_zapu,joseph_zanu_pf,thamsanga_ake,rejected,unaccounted_for,votes_cast,valid_votes
Bulawayo City Council,Mabuthweni/Emganwini,Pelandaba-Mpopoma ,9,Gampu Primary School A,School,17,2,3,1,0,2,1,128,0,48,1,0,0,203,203
Bulawayo City Council,Mabuthweni/Emganwini,Pelandaba-Mpopoma ,9,Gampu Primary School B,School,43,7,2,2,5,4,3,264,9,54,3,7,0,403,396
Bulawayo City Council,Mabuthweni/Emganwini,Pelandaba-Mpopoma ,9,Inyathi Youth Centre,Hall,31,1,2,1,8,2,0,192,0,53,1,1,0,292,291
Bulawayo City Council,Mabuthweni/Emganwini,Pelandaba-Mpopoma ,9,Lukanyiso Primary School A,School,28,9,4,2,6,1,1,151,2,29,1,3,0,237,234
Bulawayo City Council,Mabuthweni/Emganwini,Pelandaba-Mpopoma ,9,Lukanyiso Primary School B,School,19,3,1,2,2,0,2,97,0,36,1,0,0,163,163
Bulawayo City Council,Mabuthweni/Emganwini,Pelandaba-Mpopoma ,9,Matshobana Hall,Hall,34,4,9,2,6,2,0,322,9,66,1,8,0,463,455
Bulawayo City Council,Mabuthweni/Emganwini,Pelandaba-Mpopoma ,9,Mpopoma Hall,Hall,41,4,10,2,11,2,1,200,9,76,1,4,0,361,357
Bulawayo City Council,Mabuthweni/Emganwini,Pelandaba-Mpopoma ,9,Mpopoma High School A,School,18,3,4,2,4,4,0,96,6,71,1,5,0,214,209
Bulawayo City Council,Mabuthweni/Emganwini,Pelandaba-Mpopoma ,9,Mpopoma High School B,School,10,0,1,0,0,0,0,58,2,14,0,1,0,86,85
Bulawayo City Council,Mabuthweni/Emganwini,Pelandaba-Mpopoma ,9,Mpopoma Library,Hall,25,3,5,4,2,1,0,163,0,41,0,4,0,248,244
Bulawayo City Council,Mabuthweni/Emganwini,Pelandaba-Mpopoma ,9,Mpopoma Pre School (Angels),Pre -School,22,1,8,0,1,0,1,146,2,64,0,5,0,250,245
Bulawayo City Council,Mabuthweni/Emganwini,Pelandaba-Mpopoma ,9,Mpopoma South Shopping Centre ,Tent,42,5,9,1,5,3,2,228,7,156,1,7,0,466,459
Bulawayo City Council,Mabuthweni/Emganwini,Pelandaba-Mpopoma ,9,Mpumelelo Primary School A,School,35,4,12,0,8,1,3,274,3,89,2,5,0,436,431
Bulawayo City Council,Mabuthweni/Emganwini,Pelandaba-Mpopoma ,9,Mpumelelo Primary School B,School,29,8,9,1,5,1,0,229,4,60,1,3,0,350,347
Bulawayo City Council,Mabuthweni/Emganwini,Pelandaba-Mpopoma ,9,Msitheli High School A,School,56,4,6,1,8,7,1,215,4,68,1,3,0,374,371
Bulawayo City Council,Mabuthweni/Emganwini,Pelandaba-Mpopoma ,9,Msitheli High School B,School,44,1,2,1,1,6,0,203,6,52,0,4,0,320,316
Bulawayo City Council,Mabuthweni/Emganwini,Pelandaba-Mpopoma ,9,Nkulumane Primary School A,School,29,8,10,0,3,0,1,163,1,52,2,3,0,272,269
Bulawayo City Council,Mabuthweni/Emganwini,Pelandaba-Mpopoma ,9,Nkulumane Primary School B,School,24,15,3,1,2,1,0,156,4,53,0,0,0,259,259
Bulawayo City Council,Mabuthweni/Emganwini,Pelandaba-Mpopoma ,9,Vulindlela Youth Centre,Hall,39,8,6,6,7,2,0,253,5,60,0,4,0,390,386
Bulawayo City Council,Mabuthweni/Emganwini,Pelandaba-Mpopoma ,13,Iminyela Flats ,Tent,37,7,21,1,2,4,5,286,5,97,4,4,0,473,469
Bulawayo City Council,Mabuthweni/Emganwini,Pelandaba-Mpopoma ,13,Iminyela Hall ,Hall,48,5,28,2,9,2,4,372,15,114,10,9,0,618,609
Bulawayo City Council,Mabuthweni/Emganwini,Pelandaba-Mpopoma ,13,Induba Primary School A,School,32,4,16,1,5,5,2,253,6,110,3,7,0,444,437
Bulawayo City Council,Mabuthweni/Emganwini,Pelandaba-Mpopoma ,13,Induba Primary School B,School,39,1,7,0,1,6,1,165,5,59,3,3,0,290,287
Bulawayo City Council,Mabuthweni/Emganwini,Pelandaba-Mpopoma ,13,Mabuthweni E.C.D Centre,Hall,30,3,31,2,4,2,2,209,9,77,1,5,0,375,370
Bulawayo City Council,Mabuthweni/Emganwini,Pelandaba-Mpopoma ,13,Mabuthweni Hall ,Hall,36,9,42,0,15,6,2,255,2,107,0,7,0,481,474
Bulawayo City Council,Mabuthweni/Emganwini,Pelandaba-Mpopoma ,13,Pelandaba Hall ,Hall,34,6,15,1,7,1,0,221,4,112,3,1,0,405,404
Bulawayo City Council,Mabuthweni/Emganwini,Pelandaba-Mpopoma ,13,Pelandaba Pre School,Pre -School,25,2,13,1,5,1,5,190,2,74,1,3,0,322,319
Bulawayo City Council,Mabuthweni/Emganwini,Pelandaba-Mpopoma ,13,Sizane High School B,School,27,3,10,0,2,3,4,162,7,83,2,1,0,304,303
Bulawayo City Council,Mabuthweni/Emganwini,Pelandaba-Mpopoma ,13,Sizani High School A,School,39,4,14,1,2,3,2,186,3,89,4,6,0,353,347
Bulawayo City Council,Mabuthweni/Emganwini,Pelandaba-Mpopoma ,13,Siziba Youth Centre,Hall,32,8,24,1,4,2,2,187,3,58,2,10,0,333,323
