local_authority,district,constituency,ward ,polling_station,facility,memorial_zapu,tamsanga_mdc_t,nkosana_mkd,matshobana_mdc,rhodah_fzc,david_zanu_pf,rejected,unaccounted_for,votes_cast,valid_votes
Bulawayo City Council,Mabuthweni/Emganwini,Nkulumane ,20,Mgoqo Primary School A,School,21,273,0,51,5,147,6,0,503,497
Bulawayo City Council,Mabuthweni/Emganwini,Nkulumane ,20,Mgoqo Primary School B,School,3,236,0,25,0,110,5,0,379,374
Bulawayo City Council,Mabuthweni/Emganwini,Nkulumane ,20,Nkulumane 12 Terminus ,Tent,12,205,1,48,3,112,5,0,386,381
Bulawayo City Council,Mabuthweni/Emganwini,Nkulumane ,20,Nkulumane 15 Emasimini,Tent,1,196,1,39,0,72,2,0,311,309
Bulawayo City Council,Mabuthweni/Emganwini,Nkulumane ,20,Nkulumane 2 Secondary School ,School,4,350,0,58,1,105,9,0,527,518
Bulawayo City Council,Mabuthweni/Emganwini,Nkulumane ,20,Nkulumane Engen Garage,Tent,8,229,0,39,1,88,2,0,367,365
Bulawayo City Council,Mabuthweni/Emganwini,Nkulumane ,20,Nkulumane Entabeni Club ,Tent,8,174,0,33,1,113,3,0,332,329
Bulawayo City Council,Mabuthweni/Emganwini,Nkulumane ,20,Nkulumane Library ,Hall,2,147,1,31,0,80,4,0,265,261
Bulawayo City Council,Mabuthweni/Emganwini,Nkulumane ,20,Prince and Princess Pre-School,Pre -School,6,273,2,46,1,98,4,0,430,426
Bulawayo City Council,Mabuthweni/Emganwini,Nkulumane ,20,Zesa Office ,Tent,9,233,1,40,3,115,5,0,406,401
Bulawayo City Council,Mabuthweni/Emganwini,Nkulumane ,22,Amaveni Primary School A,School,17,236,1,70,2,81,1,0,408,407
Bulawayo City Council,Mabuthweni/Emganwini,Nkulumane ,22,Amaveni Primary School B,School,8,175,0,40,1,75,3,0,302,299
Bulawayo City Council,Mabuthweni/Emganwini,Nkulumane ,22,Mafela Primary School A,School,16,200,7,32,4,66,1,0,326,325
Bulawayo City Council,Mabuthweni/Emganwini,Nkulumane ,22,Mafela Primary School B,School,7,191,0,21,0,48,9,0,276,267
Bulawayo City Council,Mabuthweni/Emganwini,Nkulumane ,22,Mandwandwe Secondary School A,School,8,195,1,33,1,46,4,0,288,284
Bulawayo City Council,Mabuthweni/Emganwini,Nkulumane ,22,Mandwandwe Secondary School B,School,5,163,2,34,0,40,3,0,247,244
Bulawayo City Council,Mabuthweni/Emganwini,Nkulumane ,22,Mtshane Primary School A,School,11,253,0,34,0,78,5,0,381,376
Bulawayo City Council,Mabuthweni/Emganwini,Nkulumane ,22,Mtshane Primary School B,School,9,269,2,67,1,72,3,0,423,420
Bulawayo City Council,Mabuthweni/Emganwini,Nkulumane ,22,Nkulumane Hall A,Hall,11,246,0,39,0,68,6,0,370,364
Bulawayo City Council,Mabuthweni/Emganwini,Nkulumane ,22,Nkulumane Hall B,Hall,15,238,3,49,2,55,5,0,367,362
Bulawayo City Council,Mabuthweni/Emganwini,Nkulumane ,22,One -Way ,Tent,7,212,1,36,2,57,2,0,317,315
Bulawayo City Council,Mabuthweni/Emganwini,Nkulumane ,22,Sigombe Primary School A,School,5,117,0,18,0,42,2,0,184,182
Bulawayo City Council,Mabuthweni/Emganwini,Nkulumane ,22,Sigombe Primary School B,School,1,93,0,26,0,35,1,0,156,155
Bulawayo City Council,Mabuthweni/Emganwini,Nkulumane ,23,Mgombane Primary School A,School,17,224,0,54,1,85,7,0,388,381
Bulawayo City Council,Mabuthweni/Emganwini,Nkulumane ,23,Mgombane Primary School B,School,15,264,2,67,1,88,8,0,445,437
Bulawayo City Council,Mabuthweni/Emganwini,Nkulumane ,23,Nkulumane 10 Bus Terminus ,Tent,13,318,0,72,3,86,9,0,501,492
Bulawayo City Council,Mabuthweni/Emganwini,Nkulumane ,23,Nkulumane 10 Water Reservour ,Tent,19,373,2,91,5,64,4,0,558,554
Bulawayo City Council,Mabuthweni/Emganwini,Nkulumane ,23,Nkulumane 12 Entabeni ,Tent,12,183,2,33,2,59,0,0,291,291
Bulawayo City Council,Mabuthweni/Emganwini,Nkulumane ,23,Queen Elizabeth Primary School A,School,25,294,4,70,1,114,4,0,512,508
Bulawayo City Council,Mabuthweni/Emganwini,Nkulumane ,23,Queen Elizabeth Primary School B,School,40,485,4,108,2,195,10,0,844,834
