local_authority,district,constituency,ward,polling_station,facility,esnat_mdc,graham,andy,joseph_mkd,gift_zpm,fidelis_zapu,brian_zapu,rejected,unaccounted_for,votes_cast,valid_votes
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo South ,6,Barham Green Hall,Hall,50,222,106,0,1,5,2,3,0,389,386
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo South ,6,Barham Green Primary School A,School,35,215,61,3,0,4,0,3,0,321,318
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo South ,6,Barham Green Primary School B,School,43,151,51,1,0,3,2,4,0,255,251
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo South ,6,Bellevue Shopping Centre ,Tent,72,211,93,4,1,5,5,3,0,394,391
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo South ,6,Founders High School,School,44,181,51,0,0,4,0,12,0,292,280
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo South ,6,Greenfield Infants School,School,31,118,39,0,0,4,1,3,0,196,193
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo South ,6,Greenfield Primary School A,School,69,291,75,1,0,12,6,8,0,462,454
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo South ,6,Greenfield Primary School B,School,58,317,94,3,1,7,6,12,0,498,486
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo South,6,Christ the King ,Church,,,,,,,,,,0,0
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo South ,6,Jocks Shopping Centre ,Tent,68,326,84,2,0,9,4,7,0,500,493
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo South ,6,Sidojiwe Flats ,Tent,17,80,40,4,0,2,1,4,0,148,144
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo South ,21,Hlabangana Shopping Centre ,Tent,29,261,73,3,0,5,4,3,0,378,375
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo South ,21,Ihlathi High School,School,33,225,72,1,0,7,3,6,0,347,341
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo South ,21,Indlovu Youth Centre,Hall,36,296,54,0,11,8,3,1,,409,408
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo South ,21,Intunta Primary School A,School,35,327,81,3,1,3,8,15,0,473,458
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo South ,21,Intunta Primary School B,School,33,240,53,0,1,2,6,7,0,342,335
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo South ,21,Mahlabezulu Primary School A,School,20,119,30,1,0,4,0,1,0,175,174
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo South ,21,Mahlabezulu Primary School B,School,22,147,52,0,2,7,6,1,0,237,236
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo South ,21,Mapisa Primary School A,School,29,299,56,2,3,3,4,14,0,410,396
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo South ,21,Mapisa Primary School B,School,40,282,61,5,3,1,3,10,0,405,395
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo South ,21,Masuku Primary School A,School,20,109,31,1,2,5,3,2,0,173,171
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo South ,21,Masuku Primary School B,School,16,91,39,1,0,8,1,3,0,159,156
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo South ,21,Mhlahlandlela Pre-School,Pre -School,58,252,57,7,10,24,5,6,0,419,413
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo South ,21,Sizinda Hall ,Hall,45,342,98,1,5,4,9,14,0,518,504
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo South ,21,Sizinda Pre-School,Pre -School,65,366,90,3,0,1,3,18,0,546,528
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo South ,21,Tshabalala Ext Shopping Centre,Tent,40,343,103,0,0,6,8,5,0,505,500
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo South ,21,Tshabalala Hall A,Hall,30,290,70,0,2,7,8,5,0,412,407
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo South ,21,Tshabalala Hall B,Hall,40,263,73,0,3,8,4,4,0,395,391
