local_authority,district,constituency,ward ,polling_station,facility,dabengwa_zapu,mugabe_zanu_pf,mukwazhe_zdp,ncube_mdc,tsvangirai_mdc_t,rejected,unaccounted_for,votes_cast,valid_votes
Chegutu,Chegutu RDC,Chegutu East,2,Chimoio Business Centre,Tent,1,139,1,12,136,4,0,293,289
Chegutu,Chegutu RDC,Chegutu East,2,Gurungwa Primary,School,0,333,0,5,48,2,0,388,386
Chegutu,Chegutu RDC,Chegutu East,2,Hungwe Primary,School,0,347,0,7,118,5,0,477,472
Chegutu,Chegutu RDC,Chegutu East,2,Neuso Business Centre,Shed,1,373,1,6,102,4,0,487,483
Chegutu,Chegutu RDC,Chegutu East,2,Neuso Primary School,School,1,222,0,7,109,13,0,352,339
Chegutu,Chegutu RDC,Chegutu East,2,Nyatsambo Primary,School,3,160,1,10,128,4,0,306,302
Chegutu,Chegutu RDC,Chegutu East,2,Nyatsanga Primary,School,2,217,1,17,271,9,0,517,508
Chegutu,Chegutu RDC,Chegutu East,2,St  Mathias Rukuma Primary,School,0,10,0,2,39,2,0,53,51
Chegutu,Chegutu RDC,Chegutu East,3,Chirundazi Primary,School,2,256,2,17,146,9,0,432,423
Chegutu,Chegutu RDC,Chegutu East,3,Chishoshe Primary,School,0,160,0,11,177,1,0,349,348
Chegutu,Chegutu RDC,Chegutu East,3,Musinami Clinic,shed,3,308,1,13,260,8,0,593,585
Chegutu,Chegutu RDC,Chegutu East,3,St Marks Primary,School,0,193,0,11,171,7,0,382,375
Chegutu,Chegutu RDC,Chegutu East,11,French Hoek Farm,Tent,1,203,1,6,43,2,0,256,254
Chegutu,Chegutu RDC,Chegutu East,11,Kuni/Chengeta Primary,School,0,308,1,1,46,2,0,358,356
Chegutu,Chegutu RDC,Chegutu East,11,Martindale Primary,School,3,472,0,1,27,2,0,505,503
Chegutu,Chegutu RDC,Chegutu East,11,Selous Tobacco Primary,School,4,454,0,4,45,5,0,512,507
Chegutu,Chegutu RDC,Chegutu East,11,Spencer  Clinic,Clinic,1,92,1,0,11,2,0,107,105
Chegutu,Chegutu RDC,Chegutu East,11,Zimbo Junction Primary,School,3,147,1,3,20,3,0,177,174
Chegutu,Chegutu RDC,Chegutu East,12,Emojeni Farm,Tent,0,131,0,0,7,4,0,142,138
Chegutu,Chegutu RDC,Chegutu East,12,Farnley Farm,Tent,1,163,0,0,2,1,0,167,166
Chegutu,Chegutu RDC,Chegutu East,12,Homedale Clinic,Shed,0,248,0,0,7,3,0,258,255
Chegutu,Chegutu RDC,Chegutu East,12,Linden Park Farm,Shed,1,41,0,3,9,0,0,54,54
Chegutu,Chegutu RDC,Chegutu East,12,Lothian Farm,Shed,1,318,0,1,7,4,0,331,327
Chegutu,Chegutu RDC,Chegutu East,12,Masden Farm,Shed,0,199,0,0,1,3,0,203,200
Chegutu,Chegutu RDC,Chegutu East,12,Shingwiri Primary,School,0,145,0,3,14,13,0,175,162
Chegutu,Chegutu RDC,Chegutu East,12,Stocksay Farm,Shed,2,142,0,0,5,3,0,152,149
Chegutu,Chegutu RDC,Chegutu East,12,Tilford Farm,Tent,2,88,0,0,4,1,0,95,94
Chegutu,Chegutu RDC,Chegutu East,16,Mbuyanehanda Clinic,Shed,0,35,0,2,23,0,0,60,60
Chegutu,Chegutu RDC,Chegutu East,16,Mkwasha  Primary,School,0,230,1,1,36,4,0,272,268
Chegutu,Chegutu RDC,Chegutu East,16,Waze Primary,School,0,121,0,2,42,1,0,166,165
Chegutu,Chegutu RDC,Chegutu East,17,Dombwe Secondary,School,2,181,0,2,89,1,0,275,274
Chegutu,Chegutu RDC,Chegutu East,17,Mawanda Primary,School,0,61,0,2,23,0,0,86,86
Chegutu,Chegutu RDC,Chegutu East,17,Msengezi High,School,0,62,0,2,31,2,0,97,95
Chegutu,Chegutu RDC,Chegutu East,18,Chirinhengo Primary,School,0,164,0,3,36,3,0,206,203
Chegutu,Chegutu RDC,Chegutu East,18,Kanhema Crossroads,Tent,0,64,0,1,4,1,0,70,69
Chegutu,Chegutu RDC,Chegutu East,18,Maritangwe Primary,School,1,118,0,1,24,2,0,146,144
Chegutu,Chegutu RDC,Chegutu East,19,Chiwanza Coop,Tent,1,148,0,2,31,0,0,182,182
Chegutu,Chegutu RDC,Chegutu East,19,Marshall Hartley  Pimary,School,0,82,0,1,35,2,0,120,118
Chegutu,Chegutu RDC,Chegutu East,19,Msengezi Primary,School,0,128,0,4,57,2,0,191,189
Chegutu,Chegutu RDC,Chegutu East,20,Bayhorse Clinic,Clinic,1,81,0,1,3,1,0,87,86
Chegutu,Chegutu RDC,Chegutu East,20,Chevarozvi Primary,School,2,191,0,1,31,2,0,227,225
Chegutu,Chegutu RDC,Chegutu East,20,Chishayabvudzi Primary,School,0,354,1,2,33,1,0,391,390
Chegutu,Chegutu RDC,Chegutu East,20,Johannadale Farm,Shed,1,384,2,3,40,11,0,441,430
Chegutu,Chegutu RDC,Chegutu East,20,Mbafa Primary,School,1,312,1,0,27,0,0,341,341
Chegutu,Chegutu RDC,Chegutu East,20,Rudaviro Coop,Tent,1,391,1,0,20,2,0,415,413
