local_authority,district,constituency,ward ,polling_station,facility,joel_ake,sikhumbuzo_zapu,elifasi_zanu_pf,phelela_mdc_t,charles_mdc,clark_zapu,rejected,unaccounted_for,votes_cast,valid_votes
Bulawayo City Council,Mabuthweni/Emganwini,Nketa ,24,Mabhukudwana Primary School A,School,0,9,61,218,35,6,3,0,332,329
Bulawayo City Council,Mabuthweni/Emganwini,Nketa ,24,Bretheren in Christ ,Hall,1,6,101,299,56,6,35,0,504,469
Bulawayo City Council,Mabuthweni/Emganwini,Nketa ,24,Mabhukudwana Primary School B,School,0,10,89,226,49,5,5,0,384,379
Bulawayo City Council,Mabuthweni/Emganwini,Nketa ,24,Mganwini Primary School A,School,2,6,71,135,31,2,1,0,248,247
Bulawayo City Council,Mabuthweni/Emganwini,Nketa ,24,Mganwini Primary School B,School,0,4,69,100,20,1,4,0,198,194
Bulawayo City Council,Mabuthweni/Emganwini,Nketa ,24,Nketa Hall A,Hall,0,9,196,368,84,15,9,0,681,672
Bulawayo City Council,Mabuthweni/Emganwini,Nketa ,24,Nketa Hall B,Hall,0,5,85,190,28,3,4,0,315,311
Bulawayo City Council,Mabuthweni/Emganwini,Nketa ,24,Nketa High School A,School,0,5,68,108,21,2,3,0,207,204
Bulawayo City Council,Mabuthweni/Emganwini,Nketa ,24,Nketa High School B,School,1,2,38,94,20,2,0,0,157,157
Bulawayo City Council,Mabuthweni/Emganwini,Nketa ,24,Nketa Primary School A,School,1,13,151,386,78,17,2,0,648,646
Bulawayo City Council,Mabuthweni/Emganwini,Nketa ,24,Nketa Primary School B,School,0,8,156,279,51,5,2,0,501,499
Bulawayo City Council,Mabuthweni/Emganwini,Nketa ,24,The Salvation Army,Hall,1,10,112,195,30,3,5,0,356,351
Bulawayo City Council,Mabuthweni/Emganwini,Nketa ,24,Nkulumane High School,School,0,11,138,328,38,7,9,0,531,522
Bulawayo City Council,Mabuthweni/Emganwini,Nketa ,25,Manondwane Primary School A,School,2,7,171,344,96,9,12,0,641,629
Bulawayo City Council,Mabuthweni/Emganwini,Nketa ,25,Manondwane Primary School B,School,1,10,195,361,113,7,4,0,691,687
Bulawayo City Council,Mabuthweni/Emganwini,Nketa ,25,Mgiqika Primary School A,School,1,5,183,314,135,8,2,0,648,646
Bulawayo City Council,Mabuthweni/Emganwini,Nketa ,25,Mgiqika Primary School B,School,4,7,209,412,143,10,5,0,790,785
Bulawayo City Council,Mabuthweni/Emganwini,Nketa ,25,Nketa 7 Library ,Hall,1,9,275,335,140,5,7,0,772,765
Bulawayo City Council,Mabuthweni/Emganwini,Nketa ,25,Nketa 7 Shopping Centre,Tent,2,8,242,440,127,9,6,0,834,828
Bulawayo City Council,Mabuthweni/Emganwini,Nketa ,25,Nketa 9 Shopping Centre ,Tent,1,13,282,428,114,6,12,0,856,844
Bulawayo City Council,Mabuthweni/Emganwini,Nketa ,26,Emganwini Island ,Tent,0,5,50,65,22,2,3,0,147,144
Bulawayo City Council,Mabuthweni/Emganwini,Nketa ,26,Emganwini Secondary School A,School,2,17,126,235,71,6,4,0,461,457
Bulawayo City Council,Mabuthweni/Emganwini,Nketa ,26,Emganwini Secondary School B,School,2,6,107,195,54,3,5,0,372,367
Bulawayo City Council,Mabuthweni/Emganwini,Nketa ,26,Khanyisa Shopping Centre,Tent,2,11,124,263,62,4,7,0,473,466
Bulawayo City Council,Mabuthweni/Emganwini,Nketa ,26,Mganwini 2 Primary School A,School,0,7,46,110,37,5,1,0,206,205
Bulawayo City Council,Mabuthweni/Emganwini,Nketa ,26,Mganwini 2 Primary School B,School,1,3,33,92,26,2,1,0,158,157
Bulawayo City Council,Mabuthweni/Emganwini,Nketa ,26,Mganwini shopping Centre ,tent,1,22,134,303,86,12,12,0,570,558
Bulawayo City Council,Mabuthweni/Emganwini,Nketa ,26,Mganwini South ,Tent,5,11,98,274,51,5,9,0,453,444
Bulawayo City Council,Mabuthweni/Emganwini,Nketa ,26,Senzangakhona Primary School A,School,2,13,82,245,49,6,6,0,403,397
Bulawayo City Council,Mabuthweni/Emganwini,Nketa ,26,Senzangakhona Primary School B,School,6,11,125,307,64,8,1,0,522,521
