local_authority,district,constituency,ward ,polling_station,facility,judge_zanu_pf,thomeki_ake,lot_zapu,gorden_mdc_t,patriciah_fzc,thabile_mdc,peter_mkd,rejected,unaccounted_for,votes_cast,valid_votes
Bulawayo City Council,Mzilikazi/Khumalo,Makokoba ,7,Efusini Shopping Centre ,Tent,178,5,5,307,2,60,1,5,0,563,558
Bulawayo City Council,Mzilikazi/Khumalo,Makokoba ,7,Lotshe Primary School A,School,154,0,9,308,3,54,1,5,0,534,529
Bulawayo City Council,Mzilikazi/Khumalo,Makokoba ,7,Lotshe Primary School B,School,164,0,16,300,2,74,2,9,0,567,558
Bulawayo City Council,Mzilikazi/Khumalo,Makokoba ,7,Makokoba Pre-School,Pre -School,176,1,15,486,1,100,1,13,0,793,780
Bulawayo City Council,Mzilikazi/Khumalo,Makokoba ,7,Raylton Hall,Hall,85,1,1,164,3,12,0,1,0,267,266
Bulawayo City Council,Mzilikazi/Khumalo,Makokoba ,7,St Columbas High School A,School,137,1,14,338,2,73,1,9,0,575,566
Bulawayo City Council,Mzilikazi/Khumalo,Makokoba ,7,St Columbas High School B,School,108,0,2,206,0,39,1,0,0,356,356
Bulawayo City Council,Mzilikazi/Khumalo,Makokoba ,7,St Patricks' Primary School A,School,196,1,9,233,2,43,1,6,0,491,485
Bulawayo City Council,Mzilikazi/Khumalo,Makokoba ,7,St Patricks' Primary School B,School,253,3,12,328,0,65,2,7,0,670,663
Bulawayo City Council,Mzilikazi/Khumalo,Makokoba ,7,Stanely Hall,Hall,322,2,3,360,0,76,2,25,0,790,765
Bulawayo City Council,Mzilikazi/Khumalo,Makokoba ,7,Westgate Training Centre,Hall,138,2,8,145,0,27,3,1,0,324,323
Bulawayo City Council,Mzilikazi/Khumalo,Makokoba ,8,Barbour Fields Pre-School,Pre -School,133,2,11,313,3,84,1,3,0,550,547
Bulawayo City Council,Mzilikazi/Khumalo,Makokoba ,8,Emlizane Pre-School,Pre -School,114,0,10,297,5,57,0,46,0,529,483
Bulawayo City Council,Mzilikazi/Khumalo,Makokoba ,8,J.B. Shopping Centre,Tent,57,1,8,230,3,75,2,2,0,378,376
Bulawayo City Council,Mzilikazi/Khumalo,Makokoba ,8,Jairos Jiri Centre ,Hall,102,2,8,251,4,49,0,3,0,419,416
Bulawayo City Council,Mzilikazi/Khumalo,Makokoba ,8,Lobengula Primary School A,School,157,2,7,274,3,52,0,4,0,499,495
Bulawayo City Council,Mzilikazi/Khumalo,Makokoba ,8,Lobengula Primary School B,School,121,1,6,207,1,39,3,4,0,382,378
Bulawayo City Council,Mzilikazi/Khumalo,Makokoba ,8,Losikeyi Primary School A,School,107,3,2,274,2,66,0,5,0,459,454
Bulawayo City Council,Mzilikazi/Khumalo,Makokoba ,8,Losikeyi Primary School B,School,113,4,5,267,0,67,0,8,0,464,456
Bulawayo City Council,Mzilikazi/Khumalo,Makokoba ,8,Mcdonald Hall,Hall,149,6,17,330,2,71,1,9,0,585,576
Bulawayo City Council,Mzilikazi/Khumalo,Makokoba ,8,Mpilo Hospital,Hall,76,2,5,216,0,46,1,2,0,348,346
Bulawayo City Council,Mzilikazi/Khumalo,Makokoba ,8,Mzilikazi High School,School,109,4,7,230,2,79,0,3,0,434,431
Bulawayo City Council,Mzilikazi/Khumalo,Makokoba ,8,Mzilikazi Primary School A,School,102,2,7,196,1,48,0,3,0,359,356
Bulawayo City Council,Mzilikazi/Khumalo,Makokoba ,8,Mzilikazi Primary School B,School,92,1,7,202,2,49,0,5,0,358,353
Bulawayo City Council,Mzilikazi/Khumalo,Makokoba ,8,Sobukazi High School A,School,89,1,4,200,0,43,0,1,0,338,337
Bulawayo City Council,Mzilikazi/Khumalo,Makokoba ,8,Sobukazi High School B,School,64,1,6,193,1,46,0,1,0,312,311
Bulawayo City Council,Mzilikazi/Khumalo,Makokoba ,8,Thorngrove Hall,Hall,43,0,2,244,1,53,1,4,0,348,344
