local_authority,district,constituency,ward ,polling_station,facility,calistus_zapu,israel_mdc,nicholas_zanu_pf,reggie_mdc_t,kidwell_ind,cliffton_ake,rejected,unaccounted_for,votes_cast,valid_votes
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,15,Imbizo Primary School A,School,9,65,40,137,29,0,5,0,285,280
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,15,Imbizo Primary School B,School,9,85,56,141,10,3,3,0,307,304
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,15,Luveve Beit Hall,Hall,7,80,66,216,27,0,7,0,403,396
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,15,Luveve Primary School A,School,8,87,39,160,38,0,1,0,333,332
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,15,Luveve Primary School B,School,4,73,25,96,19,3,0,0,220,220
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,15,Mafakela Primary School A,School,12,129,58,208,43,2,5,0,457,452
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,15,Mafakela Primary School B,School,8,84,54,107,26,1,1,0,281,280
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,15,Matshayisikhova Primary School A,School,7,39,26,88,10,3,2,0,175,173
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,15,Matshayisikhova Primary School B,School,6,70,43,139,32,0,3,0,293,290
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,15,Mpofu Shopping Centre ,Tent,11,114,56,199,18,2,5,0,405,400
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,15,Percy Ibbotson School,School,5,45,14,63,7,1,0,0,135,135
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,16,Fusi Primary School A,School,16,101,66,310,19,2,5,0,519,514
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,16,Fusi Primary School B,School,14,95,61,273,8,3,7,0,461,454
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,16,Gwabalanda Pre-School,Pre -School,41,164,72,386,20,0,2,0,685,683
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,16,Inyanda Secondary School A,School,13,99,125,236,15,2,2,0,492,490
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,16,Inyanda Secondary School B,School,14,64,59,188,12,1,1,0,339,338
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,16,Inzwananzi Primary School A,School,17,123,82,329,12,0,5,0,568,563
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,16,Inzwananzi Primary School B,School,16,100,64,289,9,1,3,0,482,479
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,16,PWD Luveve Depot,Hall,10,32,61,117,13,0,1,0,234,233
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,28,Cowdray Park Secondary School A,School,3,25,68,156,8,0,0,0,260,260
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,28,Cowdray Park Secondary School B,School,7,31,62,144,13,2,3,0,262,259
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,28,Cowdray Park Terminus ,Tent,15,60,173,284,11,1,9,0,553,544
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,28,Hlalanikuhle ,Tent,13,46,210,158,25,0,2,0,454,452
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,28,Hlalanikuhle  Phetsheya (1),Tent,5,25,96,124,40,1,7,0,298,291
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,28,Hlalanikuhle  Phetsheya (2),Tent,4,15,76,92,16,1,2,0,206,204
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,28,Hlalanikuhle  Phetsheya (3),Tent,2,8,34,58,23,0,1,0,126,125
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,28,Hlalanikuhle  Phetsheya (4),Tent,4,13,46,75,18,0,7,0,163,156
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,28,Hlalanikuhle  Phetsheya (5),Tent,5,9,49,82,17,1,4,0,167,163
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,28,Luveve High School A,School,2,16,33,81,6,1,1,0,140,139
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,28,Luveve High School B,School,6,22,29,75,4,4,0,0,140,140
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,28,Mahlathini Primary School A,School,19,70,135,310,15,9,6,0,564,558
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,28,Mahlathini Primary School B,School,21,58,130,294,15,2,7,0,527,520
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,28,Mkhithika Thebe Primary School A,School,19,38,144,269,13,0,4,0,487,483
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,28,Mkhithika Thebe Primary School B,School,16,58,113,251,20,1,4,0,463,459
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,28,Roman Catholic Church ,Hall,7,48,96,203,23,2,2,0,381,379
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,28,Tategulu Primary School A,School,19,47,79,159,19,1,8,0,332,324
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,28,Tategulu Primary School B,School,10,33,69,158,12,1,7,0,290,283
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Luveve,28,TM Shopping Centre,Tent,9,77,165,330,16,2,2,0,601,599
