local_authority,district,constituency,ward,polling_station,facility,maizda_mkd,linda_ake,angirayi_umd,sibongile_mdc,mlungisi_zanu_pf,clemence_zapu,staff_mdc_t,rejected,unaccounted_for,votes_cast,valid_votes
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,1,City Hall A,Hall,6,0,0,64,145,10,330,3,0,558,555
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,1,City Hall B,Hall,6,1,0,42,98,6,162,3,0,318,315
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,1,Eveline High School A,School,2,1,1,34,57,5,156,4,0,260,256
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,1,Eveline High School B,School,1,1,0,18,46,0,62,3,0,131,128
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,1,Mckeurtan Primary School A,School,1,0,0,4,31,3,25,1,0,65,64
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,1,Mckeurtan Primary School B,School,0,0,0,1,8,0,5,0,0,14,14
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,1,Milton Junior School A,School,1,0,1,47,42,5,145,1,0,242,241
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,1,Milton Junior School B,School,0,0,1,18,27,2,65,0,0,113,113
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,1,Old Bulawayo Polytechnic College,Hall,2,0,1,28,112,2,111,2,0,258,256
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,1,Robert Tredgold Primary School A,School,1,0,0,2,29,0,13,1,0,46,45
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,1,Robert Tredgold Primary School B,School,1,0,0,11,37,1,19,0,0,69,69
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,1,T.M Hyper ,Tent,2,1,0,14,105,3,128,0,0,253,253
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,2,Airport Primary School,School,1,1,2,18,89,4,146,13,,274,261
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,2,Aiselby Primary School,School,2,0,0,8,11,3,34,1,0,59,58
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,2,Baines Infants School,School,1,0,0,7,18,3,70,3,0,102,99
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,2,Baines Junior School A,School,5,0,1,81,171,10,333,7,0,608,601
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,2,Baines Junior School B,School,4,2,0,20,59,2,158,3,0,248,245
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,2,Falls Garage ,Tent,1,0,2,15,25,2,37,1,0,83,82
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,2,Harrisvale Hide out,Tent,2,0,1,13,37,0,61,1,0,115,114
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,2,Hugh Beadle Primary School A,School,14,0,1,41,70,5,167,4,0,302,298
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,2,Hugh Beadle Primary School B,School,5,0,0,22,60,4,107,0,0,198,198
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,2,Kennilworth Little Angels Pre-School,Pre -School,8,0,0,6,32,1,51,2,0,100,98
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,2,Montgomery Hall,Hall,7,0,1,51,56,5,151,7,0,278,271
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,2,Newmansford Primary School A,School,3,1,3,35,53,2,109,1,0,207,206
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,2,Newmansford Primary School B,School,1,2,2,29,40,1,139,3,0,217,214
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,2,Northend Shopping Centre,Tent,8,2,0,47,77,7,223,0,0,364,364
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,2,Northlea High School,School,1,0,1,13,44,2,67,4,0,132,128
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,2,Norwood ,Hall,1,0,1,3,10,7,22,2,0,46,44
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,2,Pig Farm (Umvutsha),Tent,2,1,0,16,25,3,71,1,0,119,118
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,2,Pink and Blue Pre-School,Pre -School,1,0,1,7,25,1,50,1,0,86,85
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,2,Richmond Club,Hall,1,0,0,21,21,6,63,5,0,117,112
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,2,Richmond Hall,Hall,2,1,3,60,83,19,209,6,0,383,377
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,2,Sauerstown Pre-school (Emasimini),Pre -School,5,0,0,8,72,1,49,1,0,136,135
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,2,Tegela Garage ,Tent,2,1,1,19,32,3,120,0,0,178,178
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,2,Trenance Primary School A,School,3,0,0,35,32,4,136,9,0,219,210
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,2,Trenance Primary School B,School,2,0,1,21,29,2,125,4,0,184,180
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,2,Umgusa Primary School,School,1,0,0,6,10,0,8,0,0,25,25
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,2,Umvutsha Farm (Hall),Hall,0,0,0,9,20,3,44,0,0,76,76
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,5,Bagcwele Shopping Centre ,Tent,0,0,0,7,25,1,44,0,0,77,77
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,5,Bradfield Shopping Centre,Tent,1,0,1,52,62,9,207,6,0,338,332
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,5,Bulawayo Polytechnic Main campus,School,1,0,0,14,16,0,37,1,0,69,68
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,5,Gifford High School,School,1,0,0,26,40,4,150,1,0,222,221
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,5,Girls College A,School,0,0,0,28,5,3,55,2,0,93,91
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,5,Girls College B,School,0,0,0,29,12,3,56,1,0,101,100
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,5,Hamilton High School,School,0,0,1,30,28,3,105,1,0,168,167
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,5,Henry Low Primary School A,School,1,1,0,13,37,5,92,5,0,154,149
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,5,Henry Low Primary School B,School,2,3,0,38,61,9,172,3,0,288,285
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,5,Hillside Scout Hall,Hall,1,0,2,66,115,14,199,6,0,403,397
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,5,Hornoung Park ,Tent,2,1,0,44,28,8,133,3,0,219,216
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,5,Ingutsheni Hospital,Hospital,0,1,0,12,23,4,80,0,0,120,120
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,5,Mentessari Primary,School,0,0,0,9,10,0,23,3,0,45,42
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,5,Milton High School A,School,1,0,0,15,17,6,35,0,0,74,74
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,5,Milton High School B,School,0,0,0,1,8,0,14,0,0,23,23
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,5,Montrose Girls High School A,School,0,0,0,12,16,0,51,3,0,82,79
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,5,Montrose Girls High School B,School,0,0,0,12,14,1,50,2,0,79,77
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,5,Moray Primary School,School,3,0,1,57,139,15,233,1,0,449,448
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,5,Morning Side Shopping Centre ,Tent,0,2,1,77,89,15,232,5,0,421,416
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,5,Retreat Shopping Centre ,Tent,5,1,2,73,77,12,235,4,0,409,405
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,5,Riverside collegiate College,School,2,0,0,28,26,2,40,1,0,99,98
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,5,Christ the King,Church,0,0,0,22,27,1,79,1,0,130,129
Bulawayo City Council,Mzilikazi/Khumalo,Bulawayo Central ,5,St Francis Primary School,School,0,0,0,13,14,7,72,0,0,106,106
