local_authority,district,constituency,ward ,polling_station,facility,emanuel_fzc,albert_mdc_t,ndebele_ake,malaba_zanu_pf,losiya_mdc,samuel_zapu,zacheous_ind,sambulelwe_pdu,rejected,unaccounted_for,votes_cast,valid_votes
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Pumula ,17,Amaswazi Primary School A,School,1,180,8,50,37,12,1,1,7,0,297,290
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Pumula ,17,Amaswazi Primary School B,School,1,102,2,31,37,14,1,1,1,0,190,189
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Pumula ,17,Babambeni Primary School A,School,2,195,4,73,50,9,0,0,3,0,336,333
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Pumula ,17,Babambeni Primary School B,School,0,154,1,48,27,10,1,4,5,0,250,245
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Pumula ,17,Green Gables  School,School,0,3,0,5,3,0,0,0,0,0,11,11
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Pumula ,17,Hyde Park Primary School,School,1,88,4,31,37,2,0,3,5,0,171,166
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Pumula ,17,Malindela Primary School A,School,0,158,3,50,63,15,0,1,0,0,290,290
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Pumula ,17,Malindela Primary School B,School,2,186,3,73,50,15,2,4,10,0,345,335
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Pumula ,17,Pumula High School A,School,1,129,3,73,33,18,0,1,6,0,264,258
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Pumula ,17,Pumula High School B,School,0,72,3,75,9,11,0,1,3,0,174,171
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Pumula ,17,Pumula Library,School,0,190,2,98,38,7,0,1,12,0,348,336
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Pumula ,17,Robert Sinyoka Primary School A,School,1,64,0,69,25,0,0,1,7,0,167,160
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Pumula ,17,Robert Sinyoka Primary School B,School,0,72,2,48,16,2,0,1,1,0,142,141
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Pumula ,17,Sizalendaba Secondary School,School,0,19,3,3,3,0,0,0,3,0,31,28
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Pumula ,17,St Peters Primary School A,School,3,98,8,69,33,6,0,7,6,0,230,224
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Pumula ,17,St Peters Primary School B,School,1,54,4,37,16,2,0,2,4,0,120,116
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Pumula ,19,Amhlope Secondary School A,School,2,201,0,101,36,8,0,1,4,0,353,349
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Pumula ,19,Amhlope Secondary School B,School,2,79,2,50,27,5,0,1,1,0,167,166
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Pumula ,19,Godlwayo Primary School A,School,2,181,1,81,43,7,3,3,10,0,331,321
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Pumula ,19,Godlwayo Primary School B,School,1,174,1,94,32,4,3,1,13,0,323,310
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Pumula ,19,Ingwegwe Primary School A,School,2,290,1,116,79,11,1,0,9,0,509,500
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Pumula ,19,Ingwegwe Primary School B,School,1,236,2,105,46,8,1,1,6,0,406,400
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Pumula ,19,Isilwane Youth Club,Hall,1,207,1,70,43,9,3,2,2,0,338,336
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Pumula ,19,Pumula East Pre-School,Pre -School,0,208,2,60,64,5,1,0,4,0,344,340
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Pumula ,19,Pumula Hall,Hall,0,315,4,164,96,12,4,6,4,0,605,601
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Pumula ,19,St. Bernards Primary School A,School,2,139,1,36,49,6,0,1,4,0,238,234
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Pumula ,19,St. Bernards Primary School B,School,0,129,0,44,35,9,2,1,5,0,225,220
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Pumula ,27,Dumezweni Primary School A,School,0,356,3,204,81,20,2,2,3,0,671,668
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Pumula ,27,Dumezweni Primary School B,School,5,274,0,169,65,4,2,3,4,0,526,522
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Pumula ,27,Ngwalongwalo Primary School A,School,2,104,0,69,13,10,0,1,1,0,200,199
