local_authority,district,constituency,ward ,polling_station,facility,tendai_zanu_ndonga,sindiso_mdc,thulani_zapu,anele_mdc_t,stephen_zapu,grace_zanu_pf,magalela_ind,rosemary_pdu,rejected,unaccounted_for,votes_cast,valid_votes
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Magwegwe ,18,Magwegwe Hall,Hall,2,95,1,242,5,82,23,2,3,0,455,452
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Magwegwe ,18,Magwegwe Primary School A,School,4,60,6,263,9,82,27,1,3,0,455,452
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Magwegwe ,18,Magwegwe Primary School B,School,5,43,9,228,7,77,32,2,6,0,409,403
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Magwegwe ,18,Magwegwe Secondary School A,School,2,86,3,133,4,27,26,1,1,0,283,282
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Magwegwe ,18,Magwegwe Secondary School B,School,2,124,7,207,2,58,42,2,3,0,447,444
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Magwegwe ,18,Magwegwe Youth Centre,Hall,2,102,5,311,4,86,30,1,4,0,545,541
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Magwegwe ,18,Mhali Primary School A,School,0,122,4,242,6,79,39,1,5,0,498,493
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Magwegwe ,18,Mhali Primary School B,School,1,140,7,239,12,95,44,1,3,0,542,539
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Magwegwe ,18,Ntshamathe Primary School A,School,1,82,2,179,1,57,26,2,3,0,353,350
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Magwegwe ,18,Ntshamathe Primary School B,School,4,116,7,235,6,73,34,1,8,0,484,476
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Magwegwe ,29,J. W. Mthimkhulu Primary School A,School,0,60,5,146,1,55,3,0,2,0,272,270
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Magwegwe ,29,J.W. Mthimkulu Primary School B,School,1,62,5,169,1,38,4,1,1,0,282,281
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Magwegwe ,29,Magwegwe North Terminus,Tent,2,113,15,350,9,70,11,1,2,0,573,571
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Magwegwe ,29,Magwegwe West Pre- School,Pre -School,2,98,8,241,1,53,10,2,2,0,417,415
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Magwegwe ,29,Magwegwe West Terminus,Tent,0,78,4,152,4,48,7,0,3,0,296,293
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Magwegwe ,29,Masotsha Secondary School A,School,1,122,12,409,7,71,4,0,3,0,629,626
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Magwegwe ,29,Masotsha Secondary School B,School,1,94,12,340,3,62,6,0,1,0,519,518
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Magwegwe ,29,Mazwi Primary School A,School,4,77,13,240,5,50,13,1,4,0,407,403
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Magwegwe ,29,Mazwi Primary School B,School,2,81,8,269,4,40,9,1,2,0,416,414
Bulawayo City Council,Gwabalanda/Masotsha Ndlovu,Magwegwe ,29,Mountain View  Shopping Centre,Tent,2,97,17,401,8,86,2,0,4,0,617,613
